# English collocation frequencies derived from the Open American
# National Corpus (OANC), public domain. Built by
# scripts/build_en_collocations.py — see data/collocations/README.md.
# docs=8805 words=18303304 pairs=73744 min_frequency=5
head	collocate	frequency	relation
reduction	significant	106	adjective_noun
american	society	105	noun_noun
analysis	northern	105	adjective_noun
black	man	105	adjective_noun
cell	division	105	noun_noun
community	intelligence	105	noun_noun
crystal	structure	105	noun_noun
finance	reform	105	noun_noun
giuliani	mayor	105	noun_noun
give	rise	105	verb_object
lot	take	105	verb_object
mouse	transgenic	105	adjective_noun
normal	tissue	105	adjective_noun
performance	plan	105	noun_noun
recently	report	105	adverb_verb
recently	show	105	adverb_verb
additional	information	104	adjective_noun
effect	examine	104	verb_object
gene	specific	104	adjective_noun
health	plan	104	noun_noun
low	significantly	104	adverb_verb
paperwork	reduction	104	noun_noun
positive	rate	104	adjective_noun
tap	water	104	noun_noun
activity	kinase	103	noun_noun
assistance	provide	103	verb_object
budget	surplus	103	noun_noun
civil	service	103	adjective_noun
corps	peace	103	noun_noun
day	spend	103	verb_object
expression	value	103	noun_noun
george	stephanopoulos	103	noun_noun
index	mass	103	noun_noun
march	testimony	103	noun_noun
primer	specific	103	adjective_noun
step	take	103	verb_object
acid	domoic	102	adjective_noun
buffer	lysis	102	noun_noun
committee	judiciary	102	noun_noun
food	stamp	102	noun_noun
fort	worth	102	noun_noun
journal	report	102	verb_subject
judgment	summary	102	noun_noun
magazine	new	102	noun_noun
new	way	102	adjective_noun
nyt	run	102	verb_subject
car	drive	101	verb_object
card	use	101	verb_object
company	tobacco	101	noun_noun
federal	program	101	adjective_noun
financial	times	101	noun_noun
island	rhode	101	noun_noun
monday	morning	101	noun_noun
official	responsible	101	adjective_noun
action	military	100	adjective_noun
art	gallery	100	noun_noun
bowl	super	100	noun_noun
dna	polymerase	100	noun_noun
early	study	100	adjective_noun
error	rate	100	noun_noun
fast	food	100	adjective_noun
murdoch	rupert	100	noun_noun
nobel	prize	100	noun_noun
pay	tax	100	verb_object
people	tell	100	verb_object
program	security	100	noun_noun
signal	transduction	100	noun_noun
star	wars	100	noun_noun
analysis	phylogenetic	99	adjective_noun
cancer	risk	99	noun_noun
change	oil	99	verb_object
computer	personal	99	adjective_noun
element	transposable	99	adjective_noun
government	official	99	noun_noun
half	life	99	adjective_noun
hour	spend	99	verb_object
important	issue	99	adjective_noun
international	papers	99	noun_noun
janet	maslin	99	noun_noun
long	stand	99	adverb_verb
medicine	plos	99	noun_noun
plan	strategic	99	adjective_noun
question	send	99	verb_object
radio	station	99	noun_noun
state	tax	99	noun_noun
address	city	98	noun_noun
cell	normal	98	adjective_noun
know	probably	98	adverb_verb
lake	salt	98	noun_noun
lat	report	98	verb_subject
level	serum	98	noun_noun
low	price	98	adjective_noun
molecule	small	98	adjective_noun
nice	real	98	adverb_verb
office	tourist	98	noun_noun
pattern	similar	98	adjective_noun
say	usat	98	verb_subject
take	year	98	verb_object
vietnam	war	98	noun_noun
adverse	event	97	adjective_noun
big	company	97	adjective_noun
chairman	honorable	97	adjective_noun
city	inner	97	adjective_noun
commission	communications	97	noun_noun
control	quality	97	noun_noun
differ	significantly	97	adverb_verb
duplication	gene	97	noun_noun
emergency	room	97	noun_noun
graduate	school	97	noun_noun
mean	value	97	adjective_noun
observation	suggest	97	verb_subject
period	study	97	noun_noun
reverse	transcriptase	97	noun_noun
act	illegal	96	adjective_noun
atrial	fibrillation	96	adjective_noun
card	major	96	adjective_noun
company	large	96	adjective_noun
cost	labor	96	noun_noun
development	product	96	noun_noun
english	speak	96	verb_object
factor	important	96	adjective_noun
ground	troop	96	noun_noun
help	self	96	noun_noun
lat	lead	96	noun_noun
medical	school	96	adjective_noun
act	unfunded	95	noun_noun
basis	provide	95	verb_object
blast	psi	95	noun_noun
cell	number	95	noun_noun
community	justice	95	noun_noun
concentration	protein	95	noun_noun
dakota	south	95	noun_noun
density	low	95	adjective_noun
develop	plan	95	verb_object
different	group	95	adjective_noun
gene	single	95	adjective_noun
high	relatively	95	adverb_verb
mandates	reform	95	noun_noun
pay	price	95	verb_object
previously	publish	95	adverb_verb
star	trek	95	noun_noun
age	golden	94	adjective_noun
albumin	serum	94	noun_noun
analysis	suggest	94	verb_subject
blot	northern	94	adjective_noun
cell	cultured	94	adjective_noun
complex	protein	94	noun_noun
dictionary	english	94	noun_noun
evidence	suggest	94	verb_subject
find	place	94	verb_object
good	seller	94	adjective_noun
group	mclaughlin	94	noun_noun
home	run	94	noun_noun
inhibitor	protease	94	noun_noun
matter	white	94	adjective_noun
month	past	94	adjective_noun
movie	see	94	verb_object
nice	pretty	94	adverb_verb
page	piece	94	noun_noun
sample	tissue	94	noun_noun
analysis	indicate	93	verb_subject
april	testimony	93	noun_noun
area	service	93	noun_noun
board	member	93	noun_noun
boy	old	93	adjective_noun
capital	gain	93	noun_noun
cell	response	93	noun_noun
community	service	93	noun_noun
condition	experimental	93	adjective_noun
dose	response	93	adjective_noun
fund	international	93	noun_noun
graduate	student	93	noun_noun
hatch	orrin	93	noun_noun
improve	quality	93	verb_object
